,accuracy,precision,recall,f1
Decision Tree,0.8100170376179787,0.8140385462430101,0.8100170376179787,0.8098502741775547
Random Forest,0.5928009303080293,0.6859184226184986,0.5928009303080293,0.6024683957372478
XGBoost,0.8351137193390485,0.8374343631914268,0.8351137193390485,0.8348597239140693
